"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02"
"79936","El Paso","TX","El Paso","El Paso",1,,,,,,,,,,,,,,1025,1100,1100,1050,1050,1000,1000,1072.5,1060,1000,1050,1050,1085,1085,1000,1100,1100,1050,1045,1000,999,977.5,975,977.5,995,995,995,995,995,995,995,995,975,995,980,987.5,985,982.5,1000,1000,995,995,995,995,1000,995,995,995,1000,1050,1050,1075,1075,1050,1050,1050,1000,1000,1000,1000
"11385","New York","NY","New York","Queens",2,,,,,,,,,,,,,,,,,,,,,,1525,1400,1300,1300,1350,1350,1437.5,1450,1450,1500,1550,1500,1500,1500,1500,1500,1600,1600,1750,1662.5,1600,1675,1750,1685,1692,1800,1625,1600,1600,1600,1800,1800,1750,1800,1997,1775,2000,1950,2000,2000,1800,1997.5,2000,2200,2295,2200,2200,2325,2400,2400,2325,2599.5
"10467","New York","NY","New York","Bronx",3,,,,,,,,,,,,,,,,,,,,,,,,,1150,1075,1150,1150,1250,1250,1200,1112.5,1099,1085,1200,1200,1200,1200,1200,1200,1200,1200,1200,1150,1100,1100,1100,1101,1100,1150,1200,1101,1150,1150,1200,1200,1200,1200,1200,1200,1250,1200,1200,1150,1150,1200,1200,1225,1200,1200,1150,1200,1250
"11220","New York","NY","New York","Kings",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1950,2000,1800,1862.5,2000,2000,2300,2100,1975,2000,2150,2150
"10025","New York","NY","New York","New York",5,,,,,,,,2700,2600,2700,2750,2600,2600,2800,2875,2887.5,2700,2800,2971,2900,2900,3097.5,3000,2850,3000,2800,2900,2912.5,2995,2950,3200,3200,3300,3325,3195,3150,3252,3300,3200,3239,3165.5,2976,3200,3300,3350,3400,3450,3395,3350,3350,3300,3375,3350,3350,3350,3350,3400,3375,3400,3395,3350,3350,3400,3362.5,3350,3400,3405,3500,3500,3500,3500,3500,3450
"60618","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,1600,1600,1572.5,1672.5,1600,1695,1795,1672.5,1800,1750,1650,1500,1600,1650,1650,1600,1685,1600,1600,1550,1500,1312.5,1350,1300,1370,1400,1350,1437.5,1500,1472.5,1400,1475,1600,1600,1700,1700,1700,1700,1700,1700,1725,1700,1795,1897.5,1700,1792.5,1762.5,1737.5,1775,1797.5,1800,1850,1850,1700,1850,1800,1800,1800,1825,1825,1700
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,1050,1100,1125,1150,1100,1150,1100,1172.5,1150,1195,1185,1200,1150,1100,1125,1195,1197.5,1200,1197.5,1150,985,1150,1195,1120,1085,1200,1152.5,1200,1349.5,1200,1225,1250,1297.5,1300,1300,1300,1300,1300,1325,1325,1330,1350,1385,1362.5,1350,1395,1350,1350,1375,1385,1400,1400,1445,1450,1400,1400,1400,1400,1400,1395,1400
"11373","New York","NY","New York","Queens",8,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1375,1375,1375,1350,1360,1400,1450,1400,1595,1500,1450,1400,1400,1425,1425,1550,1525,1475,1525,1450,1600,1600,1650,1650,1600,1600,1600,1637.5,1675,1650,1650,1650,1725,1637.5,1612.5,1625,1625,1612.5,1650,1582.5,1600,1625,1850,1850,1825,1900,1975,1775,1795
"11207","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,1450,1460.5,1500,1500,1525,1600,1600,1600,1600,1600,1600,1550,1550,1699,1600,1750,1832,1750,1800,1930,1850,1991,2100,1850,1800,1600,1650,1727.5,1800,1800,1800,2000,2000,2100,2000,1975,2000,2172.5,2125,2000,2100,2225,2495,2300,2295,2295,2100,2350,2400,2200,2200,2350
"60647","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,1985,2000,2000,1950,2000,2150,1900,1850,1912.5,2000,1975,1995,1972.5,1900,1900,2000,2000
